suburb,price,timestamp,pct_change
Aberfoyle Park,699700.0,2023-08-22,nan
Aberfoyle Park,702300.0,2023-09-19,0.3716
Aberfoyle Park,702300.0,2023-09-28,0.0000
Aberfoyle Park,701000.0,2023-10-17,-0.1851
Aberfoyle Park,701000.0,2023-10-23,0.0000
Aberfoyle Park,701000.0,2023-11-11,0.0000
Aberfoyle Park,739700.0,2024-05-24,5.5207
Adelaide,782200.0,2023-08-22,nan
Adelaide,829300.0,2023-09-19,6.0215
Adelaide,829300.0,2023-09-28,0.0000
Adelaide,830800.0,2023-10-17,0.1809
Adelaide,830800.0,2023-10-23,0.0000
Adelaide,830800.0,2023-11-11,0.0000
Adelaide,942800.0,2024-05-24,13.4810
Albert Park,699700.0,2023-08-22,nan
Albert Park,697000.0,2023-09-19,-0.3859
Albert Park,697000.0,2023-09-28,0.0000
Albert Park,714700.0,2023-10-17,2.5395
Albert Park,714700.0,2023-10-23,0.0000
Albert Park,714700.0,2023-11-11,0.0000
Albert Park,779500.0,2024-05-24,9.0667
Alberton,665000.0,2023-08-22,nan
Alberton,698500.0,2023-09-19,5.0376
Alberton,698500.0,2023-09-28,0.0000
Alberton,719600.0,2023-10-17,3.0208
Alberton,719600.0,2023-10-23,0.0000
Alberton,719600.0,2023-11-11,0.0000
Alberton,768900.0,2024-05-24,6.8510
Aldgate,1122000.0,2023-08-22,nan
Aldgate,1139300.0,2023-09-19,1.5419
Aldgate,1139300.0,2023-09-28,0.0000
Aldgate,1138700.0,2023-10-17,-0.0527
Aldgate,1138700.0,2023-10-23,0.0000
Aldgate,1138700.0,2023-11-11,0.0000
Aldgate,1253000.0,2024-05-24,10.0378
Aldinga,890800.0,2023-08-22,nan
Aldinga,1150600.0,2023-09-19,29.1648
Aldinga,1150600.0,2023-09-28,0.0000
Aldinga,1150600.0,2023-10-17,0.0000
Aldinga,1150600.0,2023-10-23,0.0000
Aldinga,1150600.0,2023-11-11,0.0000
Aldinga,1333300.0,2024-05-24,15.8787
Aldinga Beach,639200.0,2023-08-22,nan
Aldinga Beach,652900.0,2023-09-19,2.1433
Aldinga Beach,652900.0,2023-09-28,0.0000
Aldinga Beach,657000.0,2023-10-17,0.6280
Aldinga Beach,657000.0,2023-10-23,0.0000
Aldinga Beach,657000.0,2023-11-11,0.0000
Aldinga Beach,701200.0,2024-05-24,6.7275
Alford,238300.0,2023-08-22,nan
Alford,238300.0,2023-09-19,0.0000
Alford,238300.0,2023-09-28,0.0000
Alford,238300.0,2023-10-17,0.0000
Alford,238300.0,2023-10-23,0.0000
Alford,238300.0,2023-11-11,0.0000
Alford,305000.0,2024-05-24,27.9899
Allenby Gardens,844200.0,2023-08-22,nan
Allenby Gardens,843300.0,2023-09-19,-0.1066
Allenby Gardens,843300.0,2023-09-28,0.0000
Allenby Gardens,843300.0,2023-10-17,0.0000
Allenby Gardens,843300.0,2023-10-23,0.0000
Allenby Gardens,843300.0,2023-11-11,0.0000
Allenby Gardens,951400.0,2024-05-24,12.8187
Allendale East,380600.0,2023-08-22,nan
Allendale East,380600.0,2023-09-19,0.0000
Allendale East,380600.0,2023-09-28,0.0000
Allendale East,380600.0,2023-10-17,0.0000
Allendale East,380600.0,2023-10-23,0.0000
Allendale East,380600.0,2023-11-11,0.0000
Allendale East,380600.0,2024-05-24,0.0000
American River,583300.0,2023-08-22,nan
American River,606000.0,2023-09-19,3.8917
American River,606000.0,2023-09-28,0.0000
American River,606000.0,2023-10-17,0.0000
American River,606000.0,2023-10-23,0.0000
American River,606000.0,2023-11-11,0.0000
American River,550000.0,2024-05-24,-9.2409
Andrews Farm,435000.0,2023-08-22,nan
Andrews Farm,452000.0,2023-09-19,3.9080
Andrews Farm,452000.0,2023-09-28,0.0000
Andrews Farm,458200.0,2023-10-17,1.3717
Andrews Farm,458200.0,2023-10-23,0.0000
Andrews Farm,458200.0,2023-11-11,0.0000
Andrews Farm,507600.0,2024-05-24,10.7813
Angaston,571200.0,2023-08-22,nan
Angaston,549800.0,2023-09-19,-3.7465
Angaston,549800.0,2023-09-28,0.0000
Angaston,575700.0,2023-10-17,4.7108
Angaston,575700.0,2023-10-23,0.0000
Angaston,575700.0,2023-11-11,0.0000
Angaston,628600.0,2024-05-24,9.1888
Angle Park,607000.0,2023-08-22,nan
Angle Park,607000.0,2023-09-19,0.0000
Angle Park,607000.0,2023-09-28,0.0000
Angle Park,607000.0,2023-10-17,0.0000
Angle Park,607000.0,2023-10-23,0.0000
Angle Park,607000.0,2023-11-11,0.0000
Angle Park,643500.0,2024-05-24,6.0132
Angle Vale,697100.0,2023-08-22,nan
Angle Vale,700600.0,2023-09-19,0.5021
Angle Vale,700600.0,2023-09-28,0.0000
Angle Vale,704400.0,2023-10-17,0.5424
Angle Vale,704400.0,2023-10-23,0.0000
Angle Vale,704400.0,2023-11-11,0.0000
Angle Vale,748800.0,2024-05-24,6.3032
Ardrossan,368700.0,2023-08-22,nan
Ardrossan,362000.0,2023-09-19,-1.8172
Ardrossan,362000.0,2023-09-28,0.0000
Ardrossan,365900.0,2023-10-17,1.0773
Ardrossan,365900.0,2023-10-23,0.0000
Ardrossan,365900.0,2023-11-11,0.0000
Ardrossan,367700.0,2024-05-24,0.4919
Armagh,347500.0,2023-08-22,nan
Armagh,347500.0,2023-09-19,0.0000
Armagh,347500.0,2023-09-28,0.0000
Armagh,347500.0,2023-10-17,0.0000
Armagh,347500.0,2023-10-23,0.0000
Armagh,347500.0,2023-11-11,0.0000
Armagh,838700.0,2024-05-24,141.3525
Arno Bay,199600.0,2023-08-22,nan
Arno Bay,199600.0,2023-09-19,0.0000
Arno Bay,199600.0,2023-09-28,0.0000
Arno Bay,199600.0,2023-10-17,0.0000
Arno Bay,199600.0,2023-10-23,0.0000
Arno Bay,199600.0,2023-11-11,0.0000
Arno Bay,199600.0,2024-05-24,0.0000
Arthurton,209200.0,2023-08-22,nan
Arthurton,209200.0,2023-09-19,0.0000
Arthurton,209200.0,2023-09-28,0.0000
Arthurton,209200.0,2023-10-17,0.0000
Arthurton,209200.0,2023-10-23,0.0000
Arthurton,209200.0,2023-11-11,0.0000
Arthurton,209200.0,2024-05-24,0.0000
Ascot Park,653600.0,2023-08-22,nan
Ascot Park,637200.0,2023-09-19,-2.5092
Ascot Park,637200.0,2023-09-28,0.0000
Ascot Park,645600.0,2023-10-17,1.3183
Ascot Park,645600.0,2023-10-23,0.0000
Ascot Park,645600.0,2023-11-11,0.0000
Ascot Park,728600.0,2024-05-24,12.8563
Ashbourne,476600.0,2023-08-22,nan
Ashbourne,476600.0,2023-09-19,0.0000
Ashbourne,476600.0,2023-09-28,0.0000
Ashbourne,476600.0,2023-10-17,0.0000
Ashbourne,476600.0,2023-10-23,0.0000
Ashbourne,476600.0,2023-11-11,0.0000
Ashbourne,1188300.0,2024-05-24,149.3286
Ashford,773200.0,2023-08-22,nan
Ashford,703800.0,2023-09-19,-8.9757
Ashford,703800.0,2023-09-28,0.0000
Ashford,703800.0,2023-10-17,0.0000
Ashford,703800.0,2023-10-23,0.0000
Ashford,703800.0,2023-11-11,0.0000
Ashford,736400.0,2024-05-24,4.6320
Ashton,1662500.0,2023-08-22,nan
Ashton,1662500.0,2023-09-19,0.0000
Ashton,1662500.0,2023-09-28,0.0000
Ashton,1662500.0,2023-10-17,0.0000
Ashton,1662500.0,2023-10-23,0.0000
Ashton,1662500.0,2023-11-11,0.0000
Ashton,1020000.0,2024-05-24,-38.6466
Athelstone,797500.0,2023-08-22,nan
Athelstone,800900.0,2023-09-19,0.4263
Athelstone,800900.0,2023-09-28,0.0000
Athelstone,803900.0,2023-10-17,0.3746
Athelstone,803900.0,2023-10-23,0.0000
Athelstone,803900.0,2023-11-11,0.0000
Athelstone,840900.0,2024-05-24,4.6026
Athol Park,564500.0,2023-08-22,nan
Athol Park,588100.0,2023-09-19,4.1807
Athol Park,588100.0,2023-09-28,0.0000
Athol Park,599500.0,2023-10-17,1.9384
Athol Park,599500.0,2023-10-23,0.0000
Athol Park,599500.0,2023-11-11,0.0000
Athol Park,633900.0,2024-05-24,5.7381
Auburn,340400.0,2023-08-22,nan
Auburn,344000.0,2023-09-19,1.0576
Auburn,344000.0,2023-09-28,0.0000
Auburn,344000.0,2023-10-17,0.0000
Auburn,344000.0,2023-10-23,0.0000
Auburn,344000.0,2023-11-11,0.0000
Auburn,402300.0,2024-05-24,16.9477
Auldana,1292600.0,2023-08-22,nan
Auldana,1292600.0,2023-09-19,0.0000
Auldana,1292600.0,2023-09-28,0.0000
Auldana,1292600.0,2023-10-17,0.0000
Auldana,1292600.0,2023-10-23,0.0000
Auldana,1292600.0,2023-11-11,0.0000
Auldana,1292600.0,2024-05-24,0.0000
Balaklava,303300.0,2023-08-22,nan
Balaklava,314200.0,2023-09-19,3.5938
Balaklava,314200.0,2023-09-28,0.0000
Balaklava,314300.0,2023-10-17,0.0318
Balaklava,314300.0,2023-10-23,0.0000
Balaklava,314300.0,2023-11-11,0.0000
Balaklava,361700.0,2024-05-24,15.0811
Balgowan,461600.0,2023-08-22,nan
Balgowan,461600.0,2023-09-19,0.0000
Balgowan,461600.0,2023-09-28,0.0000
Balgowan,461600.0,2023-10-17,0.0000
Balgowan,461600.0,2023-10-23,0.0000
Balgowan,461600.0,2023-11-11,0.0000
Balgowan,404100.0,2024-05-24,-12.4567
Balhannah,712000.0,2023-08-22,nan
Balhannah,719200.0,2023-09-19,1.0112
Balhannah,719200.0,2023-09-28,0.0000
Balhannah,753500.0,2023-10-17,4.7692
Balhannah,753500.0,2023-10-23,0.0000
Balhannah,753500.0,2023-11-11,0.0000
Balhannah,825100.0,2024-05-24,9.5023
Banksia Park,649800.0,2023-08-22,nan
Banksia Park,664100.0,2023-09-19,2.2007
Banksia Park,664100.0,2023-09-28,0.0000
Banksia Park,660700.0,2023-10-17,-0.5120
Banksia Park,660700.0,2023-10-23,0.0000
Banksia Park,660700.0,2023-11-11,0.0000
Banksia Park,675300.0,2024-05-24,2.2098
Barmera,350800.0,2023-08-22,nan
Barmera,317500.0,2023-09-19,-9.4926
Barmera,317500.0,2023-09-28,0.0000
Barmera,317500.0,2023-10-17,0.0000
Barmera,317500.0,2023-10-23,0.0000
Barmera,317500.0,2023-11-11,0.0000
Barmera,421100.0,2024-05-24,32.6299
Basket Range,896000.0,2023-08-22,nan
