suburb,lower_date,upper_date,pct_change
Aberfoyle Park,2023-08-22,2024-05-24,5.716735743890239
Adelaide,2023-08-22,2024-05-24,20.531833290718488
Albert Park,2023-08-22,2024-05-24,11.404887809061027
Alberton,2023-08-22,2024-05-24,15.62406015037594
Aldgate,2023-08-22,2024-05-24,11.675579322638146
Aldinga,2023-08-22,2024-05-24,49.67444993264481
Aldinga Beach,2023-08-22,2024-05-24,9.69962453066333
Alford,2023-08-22,2024-05-24,27.989928661351236
Allenby Gardens,2023-08-22,2024-05-24,12.698412698412698
Allendale East,2023-08-22,2024-05-24,0.0
American River,2023-08-22,2024-05-24,-5.70889765129436
Andrews Farm,2023-08-22,2024-05-24,16.689655172413794
Angaston,2023-08-22,2024-05-24,10.049019607843137
Angle Park,2023-08-22,2024-05-24,6.013179571663921
Angle Vale,2023-08-22,2024-05-24,7.416439535217329
Ardrossan,2023-08-22,2024-05-24,-0.27122321670735017
Armagh,2023-08-22,2024-05-24,141.3525179856115
Arno Bay,2023-08-22,2024-05-24,0.0
Arthurton,2023-08-22,2024-05-24,0.0
Ascot Park,2023-08-22,2024-05-24,11.474908200734395
Ashbourne,2023-08-22,2024-05-24,149.32857742341585
Ashford,2023-08-22,2024-05-24,-4.759441282979824
Ashton,2023-08-22,2024-05-24,-38.64661654135338
Athelstone,2023-08-22,2024-05-24,5.4420062695924765
Athol Park,2023-08-22,2024-05-24,12.29406554472985
Auburn,2023-08-22,2024-05-24,18.184488836662748
Auldana,2023-08-22,2024-05-24,0.0
Balaklava,2023-08-22,2024-05-24,19.254863171777117
Balgowan,2023-08-22,2024-05-24,-12.456672443674178
Balhannah,2023-08-22,2024-05-24,15.884831460674157
Banksia Park,2023-08-22,2024-05-24,3.9242843951985225
Barmera,2023-08-22,2024-05-24,20.039908779931583
Basket Range,2023-08-22,2024-05-24,24.441964285714285
Baudin Beach,2023-08-22,2024-05-24,0.0
Beachport,2023-08-22,2024-05-24,10.734913363871739
Beaumont,2023-08-22,2024-05-24,11.296206225680933
Bedford Park,2023-08-22,2024-05-24,10.83191368540602
Belair,2023-08-22,2024-05-24,11.812053526511722
Bellevue Heights,2023-08-22,2024-05-24,4.9851019940407975
Berri,2023-08-22,2024-05-24,16.442451420029897
Beulah Park,2023-08-22,2024-05-24,10.857605177993527
Beverley,2023-08-22,2024-05-24,31.665928877084255
Birdwood,2023-08-22,2024-05-24,23.703841850055948
Birkenhead,2023-08-22,2024-05-24,1.2454212454212454
Black Forest,2023-08-22,2024-05-24,22.491544532130778
Black Point,2024-05-24,2024-05-24,0.0
