suburb,timestamp,price,percentage_change
Aberfoyle Park,2023-08-22,699700.0,0.37158782335286555
Aberfoyle Park,2023-09-19,702300.0,0.37158782335286555
Aberfoyle Park,2023-09-28,702300.0,0.37158782335286555
Aberfoyle Park,2023-10-17,701000.0,0.37158782335286555
Aberfoyle Park,2023-10-23,701000.0,0.37158782335286555
Aberfoyle Park,2023-11-11,701000.0,0.37158782335286555
Aberfoyle Park,2024-05-24,739700.0,0.37158782335286555
Adelaide,2023-08-22,782200.0,6.021477882894401
Adelaide,2023-09-19,829300.0,6.021477882894401
Adelaide,2023-09-28,829300.0,6.021477882894401
Adelaide,2023-10-17,830800.0,6.021477882894401
Adelaide,2023-10-23,830800.0,6.021477882894401
Adelaide,2023-11-11,830800.0,6.021477882894401
Adelaide,2024-05-24,942800.0,6.021477882894401
Albert Park,2023-08-22,699700.0,-0.3858796627125911
Albert Park,2023-09-19,697000.0,-0.3858796627125911
Albert Park,2023-09-28,697000.0,-0.3858796627125911
Albert Park,2023-10-17,714700.0,-0.3858796627125911
Albert Park,2023-10-23,714700.0,-0.3858796627125911
Albert Park,2023-11-11,714700.0,-0.3858796627125911
Albert Park,2024-05-24,779500.0,-0.3858796627125911
Alberton,2023-08-22,665000.0,5.037593984962406
Alberton,2023-09-19,698500.0,5.037593984962406
Alberton,2023-09-28,698500.0,5.037593984962406
Alberton,2023-10-17,719600.0,5.037593984962406
Alberton,2023-10-23,719600.0,5.037593984962406
Alberton,2023-11-11,719600.0,5.037593984962406
Alberton,2024-05-24,768900.0,5.037593984962406
Aldgate,2023-08-22,1122000.0,1.5418894830659537
Aldgate,2023-09-19,1139300.0,1.5418894830659537
Aldgate,2023-09-28,1139300.0,1.5418894830659537
Aldgate,2023-10-17,1138700.0,1.5418894830659537
Aldgate,2023-10-23,1138700.0,1.5418894830659537
Aldgate,2023-11-11,1138700.0,1.5418894830659537
Aldgate,2024-05-24,1253000.0,1.5418894830659537
Aldinga,2023-08-22,890800.0,29.164795689268075
Aldinga,2023-09-19,1150600.0,29.164795689268075
Aldinga,2023-09-28,1150600.0,29.164795689268075
Aldinga,2023-10-17,1150600.0,29.164795689268075
Aldinga,2023-10-23,1150600.0,29.164795689268075
Aldinga,2023-11-11,1150600.0,29.164795689268075
Aldinga,2024-05-24,1333300.0,29.164795689268075
Aldinga Beach,2023-08-22,639200.0,2.1433041301627034
Aldinga Beach,2023-09-19,652900.0,2.1433041301627034
Aldinga Beach,2023-09-28,652900.0,2.1433041301627034
Aldinga Beach,2023-10-17,657000.0,2.1433041301627034
Aldinga Beach,2023-10-23,657000.0,2.1433041301627034
Aldinga Beach,2023-11-11,657000.0,2.1433041301627034
Aldinga Beach,2024-05-24,701200.0,2.1433041301627034
Alford,2023-08-22,238300.0,0.0
Alford,2023-09-19,238300.0,0.0
Alford,2023-09-28,238300.0,0.0
Alford,2023-10-17,238300.0,0.0
Alford,2023-10-23,238300.0,0.0
Alford,2023-11-11,238300.0,0.0
Alford,2024-05-24,305000.0,0.0
Allenby Gardens,2023-08-22,844200.0,-0.10660980810234541
Allenby Gardens,2023-09-19,843300.0,-0.10660980810234541
Allenby Gardens,2023-09-28,843300.0,-0.10660980810234541
Allenby Gardens,2023-10-17,843300.0,-0.10660980810234541
Allenby Gardens,2023-10-23,843300.0,-0.10660980810234541
Allenby Gardens,2023-11-11,843300.0,-0.10660980810234541
Allenby Gardens,2024-05-24,951400.0,-0.10660980810234541
Allendale East,2023-08-22,380600.0,0.0
Allendale East,2023-09-19,380600.0,0.0
Allendale East,2023-09-28,380600.0,0.0
Allendale East,2023-10-17,380600.0,0.0
Allendale East,2023-10-23,380600.0,0.0
Allendale East,2023-11-11,380600.0,0.0
Allendale East,2024-05-24,380600.0,0.0
American River,2023-08-22,583300.0,3.8916509514829416
American River,2023-09-19,606000.0,3.8916509514829416
American River,2023-09-28,606000.0,3.8916509514829416
American River,2023-10-17,606000.0,3.8916509514829416
American River,2023-10-23,606000.0,3.8916509514829416
American River,2023-11-11,606000.0,3.8916509514829416
American River,2024-05-24,550000.0,3.8916509514829416
Andrews Farm,2023-08-22,435000.0,3.9080459770114944
Andrews Farm,2023-09-19,452000.0,3.9080459770114944
Andrews Farm,2023-09-28,452000.0,3.9080459770114944
Andrews Farm,2023-10-17,458200.0,3.9080459770114944
Andrews Farm,2023-10-23,458200.0,3.9080459770114944
Andrews Farm,2023-11-11,458200.0,3.9080459770114944
Andrews Farm,2024-05-24,507600.0,3.9080459770114944
Angaston,2023-08-22,571200.0,-3.746498599439776
Angaston,2023-09-19,549800.0,-3.746498599439776
Angaston,2023-09-28,549800.0,-3.746498599439776
Angaston,2023-10-17,575700.0,-3.746498599439776
Angaston,2023-10-23,575700.0,-3.746498599439776
Angaston,2023-11-11,575700.0,-3.746498599439776
Angaston,2024-05-24,628600.0,-3.746498599439776
Angle Park,2023-08-22,607000.0,0.0
Angle Park,2023-09-19,607000.0,0.0
Angle Park,2023-09-28,607000.0,0.0
